affiliation_id,person_id,party_id,start_date,end_date,role,source_ids
AFF-599d3f530bc3,TNP-00557,PTY-CPR,,,,MARSAD_ANC
AFF-99d936e56ba9,TNP-00558,PTY-CPR,,,,MARSAD_ANC
AFF-a8a88af1cd86,TNP-00559,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-6df86bf37e06,TNP-00560,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-2cab51ded3ed,TNP-00561,PTY-e5c16bf2604d,,,,MARSAD_ANC
AFF-75366ababd72,TNP-00562,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-9d72a008e187,TNP-00563,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-99c57a427925,TNP-00564,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-f4fc267360a6,TNP-00565,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-a24ba9cc0ee0,TNP-00566,PTY-cb447bb1247c,,,,MARSAD_ANC
AFF-d6cce617c62f,TNP-00285,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-c172d67326b4,TNP-00567,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-0d560cf63cc3,TNP-00568,PTY-ETTAKATOL,,,,MARSAD_ANC
