person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00486,Karim Bouabdelli,Democratic Bloc,1,CMT-13e8b4757c0d,Legislative 2,20,0,1.0
TNP-00504,Moncef Cheikhrouhou,Democratic Alliance,1,CMT-13e8b4757c0d,Legislative 2,20,0,1.0
TNP-00530,Mouldi Zidi,No bloc,1,CMT-13e8b4757c0d,Legislative 2,20,0,1.0
TNP-00551,Mokhtar Lamouchi,Ennahdha,1,CMT-3b890b1f160a,Special 4,20,0,1.0
TNP-00400,Imen Ben Mhamed,Ennahdha,1,CMT-f2d2d05db58f,Legislative 4,20,0,1.0
TNP-00441,Samir Ben Amor,CPR,1,CMT-f2d2d05db58f,Legislative 4,20,0,1.0
TNP-00488,Kalthoum Badreddine,Ennahdha,1,CMT-f2d2d05db58f,Legislative 4,20,0,1.0
TNP-00545,Hichem Ben Jemaa,CPR,1,CMT-f2d2d05db58f,Legislative 4,20,0,1.0
TNP-00557,Khalid Belhaj,No bloc,1,CMT-f2d2d05db58f,Legislative 4,20,0,1.0
TNP-00404,Bechir Lazzem,Ennahdha,1,CMT-52252f4274f6,Legislative 3,20,0,1.0
TNP-00408,Jamel Gargouri,Democratic Alliance,1,CMT-52252f4274f6,Legislative 3,20,0,1.0
TNP-00427,Romdhane Doghmani,Democratic Transition,1,CMT-52252f4274f6,Legislative 3,20,0,1.0
TNP-00460,Abdelhalim Zouari,Ennahdha,1,CMT-52252f4274f6,Legislative 3,20,0,1.0
TNP-00481,Farah Nsibi,No bloc,1,CMT-52252f4274f6,Legislative 3,20,0,1.0
TNP-00174,Ameur Laraiedh,Ennahdha,1,CMT-8978fc995f04,Legislative 5,19,0,1.0
TNP-00285,Mohamed Zrig,Ennahdha,1,CMT-8978fc995f04,Legislative 5,19,0,1.0
TNP-00381,Habib Ellouz,Ennahdha,1,CMT-8978fc995f04,Legislative 5,19,0,1.0
TNP-00432,Souad Abderrahim,Ennahdha,1,CMT-e6b2fac8e5c7,Legislative 6,19,0,1.0
TNP-00193,Fadhel Ouej,No bloc,1,CMT-b46554e2045e,Legislative 7,18,0,1.0
TNP-00392,Nafti Mahdhi,Ennahdha,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00416,Hattab Barakati,No bloc,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00434,Said Kharchoufi,No bloc,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00468,Abdelkader Ben Khmis,Democratic Bloc,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00485,Kais Mokhtar,No bloc,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00491,Kamel Ben Amara,Ennahdha,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00501,Mohamed Tahar Tlili,Ennahdha,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00549,Soulef Ksantini,Ennahdha,1,CMT-f6f9e9d7cbb2,Legislative 8,16,0,1.0
TNP-00558,Nafissa Marzouki,Ettakatol,1,CMT-cbc65065020c,Special 7,10,0,1.0
